"",gene_set,over_represented_pvalue,under_represented_pvalue,numSIGInCat,numInCat,SIGgene_ensembl,SIGgene_symbol,All_gene_ensembl,All_gene_symbol,Ave_value_all_gene
"770",GO_SERINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,0.3892488319776,0.755930398033834,8,33,ENSG00000023909|ENSG00000062485|ENSG00000100031|ENSG00000128309|ENSG00000130066|ENSG00000140905|ENSG00000144115|ENSG00000160200,GCLM|CS|GGT1|MPST|SAT1|GCSH|THNSL2|CBS,ENSG00000001084|ENSG00000023909|ENSG00000031698|ENSG00000062485|ENSG00000075415|ENSG00000086475|ENSG00000092621|ENSG00000100031|ENSG00000100714|ENSG00000109618|ENSG00000113924|ENSG00000116761|ENSG00000128309|ENSG00000130066|ENSG00000131067|ENSG00000132824|ENSG00000135069|ENSG00000139410|ENSG00000139514|ENSG00000140905|ENSG00000144115|ENSG00000146733|ENSG00000151012|ENSG00000159131|ENSG00000160200|ENSG00000164300|ENSG00000164933|ENSG00000166278|ENSG00000167720|ENSG00000169083|ENSG00000176974|ENSG00000178445|ENSG00000182199,GCLC|GCLM|SARS|CS|SLC25A3|SEPHS1|PHGDH|GGT1|MTHFD1|SEPSECS|HGD|CTH|MPST|SAT1|GGT7|SERINC3|PSAT1|SDSL|SLC7A1|GCSH|THNSL2|PSPH|SLC7A11|GART|CBS|SERINC5|SLC25A32|C2|SRR|AR|SHMT1|GLDC|SHMT2,6.3030303030303
"771",GO_MAP_KINASE_KINASE_ACTIVITY,0.389332373727888,0.807707247829875,4,16,ENSG00000065559|ENSG00000078018|ENSG00000089022|ENSG00000102882,MAP2K4|MAP2|MAPKAPK5|MAPK3,ENSG00000006432|ENSG00000034152|ENSG00000065559|ENSG00000076984|ENSG00000077264|ENSG00000078018|ENSG00000089022|ENSG00000100030|ENSG00000102882|ENSG00000109339|ENSG00000112062|ENSG00000114738|ENSG00000126934|ENSG00000137764|ENSG00000147853|ENSG00000169032,MAP3K9|MAP2K3|MAP2K4|MAP2K7|PAK3|MAP2|MAPKAPK5|MAPK1|MAPK3|MAPK10|MAPK14|MAPKAPK3|MAP2K2|MAP2K5|AK3|MAP2K1,5.6875
"772",GO_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,0.390489625172841,0.783977892565374,5,26,ENSG00000011304|ENSG00000126088|ENSG00000171735|ENSG00000182979|ENSG00000187848,PTBP1|UROD|CAMTA1|MTA1|P2RX2,ENSG00000011304|ENSG00000017427|ENSG00000039068|ENSG00000065361|ENSG00000083454|ENSG00000085872|ENSG00000090020|ENSG00000118762|ENSG00000118898|ENSG00000126088|ENSG00000135124|ENSG00000138814|ENSG00000143933|ENSG00000148834|ENSG00000151320|ENSG00000157837|ENSG00000160014|ENSG00000169567|ENSG00000171735|ENSG00000182979|ENSG00000185043|ENSG00000187848|ENSG00000196839|ENSG00000197386|ENSG00000198668|ENSG00000213533,PTBP1|IGF1|CDH1|ERBB3|P2RX5|CHERP|SLC9A1|PKD2|PPL|UROD|P2RX4|PPP3CA|CALM2|GSTO1|AKAP6|SPPL3|CALM3|HINT1|CAMTA1|MTA1|CIB1|P2RX2|ADA|HTT|CALM1|STIMATE,4.19230769230769
"773",GO_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.390529345851389,0.772321360351245,6,28,ENSG00000106462|ENSG00000115170|ENSG00000116128|ENSG00000159023|ENSG00000168646|ENSG00000186174,EZH2|ACVR1|BCL9|EPB41|AXIN2|BCL9L,ENSG00000042832|ENSG00000101144|ENSG00000101384|ENSG00000106462|ENSG00000106799|ENSG00000108821|ENSG00000111846|ENSG00000115109|ENSG00000115170|ENSG00000116128|ENSG00000122694|ENSG00000137575|ENSG00000138795|ENSG00000147789|ENSG00000148400|ENSG00000148737|ENSG00000153071|ENSG00000159023|ENSG00000166278|ENSG00000166949|ENSG00000168036|ENSG00000168646|ENSG00000175387|ENSG00000182149|ENSG00000186174|ENSG00000196591|ENSG00000198125|ENSG00000198793,TG|BMP7|JAG1|EZH2|TGFBR1|COL1A1|GCNT2|EPB41L5|ACVR1|BCL9|GLIPR2|SDCBP|LEF1|ZNF7|NOTCH1|TCF7L2|DAB2|EPB41|C2|SMAD3|CTNNB1|AXIN2|SMAD2|IST1|BCL9L|HDAC2|MB|MTOR,5.42857142857143
"774",GO_RESPIRASOME,0.390576275105106,0.718783614251651,14,73,ENSG00000011295|ENSG00000062485|ENSG00000074582|ENSG00000090266|ENSG00000112695|ENSG00000119421|ENSG00000128609|ENSG00000160194|ENSG00000164258|ENSG00000167792|ENSG00000170906|ENSG00000173660|ENSG00000174886|ENSG00000183648,TTC19|CS|BCS1L|NDUFB2|COX7A2|NDUFA8|NDUFA5|NDUFV3|NDUFS4|NDUFV1|NDUFA3|UQCRH|NDUFA11|NDUFB1,ENSG00000004779|ENSG00000010256|ENSG00000011295|ENSG00000014919|ENSG00000023228|ENSG00000062485|ENSG00000065518|ENSG00000073578|ENSG00000074582|ENSG00000090266|ENSG00000099795|ENSG00000105341|ENSG00000109390|ENSG00000110074|ENSG00000110717|ENSG00000112695|ENSG00000113312|ENSG00000115286|ENSG00000115944|ENSG00000116288|ENSG00000117118|ENSG00000119013|ENSG00000119421|ENSG00000125356|ENSG00000126267|ENSG00000127540|ENSG00000128609|ENSG00000130414|ENSG00000131143|ENSG00000131174|ENSG00000131495|ENSG00000134504|ENSG00000136521|ENSG00000137806|ENSG00000139180|ENSG00000140740|ENSG00000140990|ENSG00000143222|ENSG00000143252|ENSG00000147684|ENSG00000148290|ENSG00000151366|ENSG00000155463|ENSG00000156467|ENSG00000158864|ENSG00000160194|ENSG00000164258|ENSG00000164405|ENSG00000165264|ENSG00000166278|ENSG00000167792|ENSG00000168653|ENSG00000169083|ENSG00000170516|ENSG00000170906|ENSG00000172115|ENSG00000173660|ENSG00000174886|ENSG00000178127|ENSG00000178741|ENSG00000181061|ENSG00000183648|ENSG00000184752|ENSG00000184983|ENSG00000185104|ENSG00000185633|ENSG00000186010|ENSG00000189043|ENSG00000204370|ENSG00000213619|ENSG00000243317|ENSG00000259112|ENSG00000267855,NDUFAB1|UQCRC1|TTC19|COX15|NDUFS1|CS|NDUFB4|SDHA|BCS1L|NDUFB2|NDUFB7|DMAC2|NDUFC1|FOXRED1|NDUFS8|COX7A2|TTC1|NDUFS7|COX7A2L|PARK7|SDHB|NDUFB3|NDUFA8|NDUFA1|COX6B1|UQCR11|NDUFA5|NDUFA10|COX4I1|COX7B|NDUFA2|KCTD1|NDUFB5|NDUFAF1|NDUFA9|UQCRC2|NDUFB10|UFC1|SDHC|NDUFB9|SURF1|NDUFC2|OXA1L|UQCRB|NDUFS2|NDUFV3|NDUFS4|UQCRQ|NDUFB6|C2|NDUFV1|NDUFS5|AR|COX7B2|NDUFA3|CYCS|UQCRH|NDUFA11|NDUFV2|COX5A|HIGD1A|NDUFB1|NDUFA12|NDUFA6|FAF1|NDUFA4L2|NDUFA13|NDUFA4|SDHD|NDUFS3|STMP1|NDUFC2-KCTD14|NDUFA7,4.87671232876712
"775",GO_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,0.390961492699763,0.781948729960115,5,29,ENSG00000062485|ENSG00000101665|ENSG00000109762|ENSG00000115170|ENSG00000204217,CS|SMAD7|SNX25|ACVR1|BMPR2,ENSG00000023734|ENSG00000042832|ENSG00000062485|ENSG00000069702|ENSG00000101144|ENSG00000101665|ENSG00000106799|ENSG00000107779|ENSG00000108187|ENSG00000109762|ENSG00000112742|ENSG00000115170|ENSG00000124225|ENSG00000127445|ENSG00000130164|ENSG00000135414|ENSG00000135503|ENSG00000135655|ENSG00000137575|ENSG00000137834|ENSG00000138080|ENSG00000153071|ENSG00000157110|ENSG00000162607|ENSG00000164404|ENSG00000168487|ENSG00000198734|ENSG00000204217|ENSG00000205302,STRAP|TG|CS|TGFBR3|BMP7|SMAD7|TGFBR1|BMPR1A|PBLD|SNX25|TTK|ACVR1|PMEPA1|PIN1|LDLR|GDF11|ACVR1B|USP15|SDCBP|SMAD6|EMILIN1|DAB2|RBPMS|USP1|GDF9|BMP1|F5|BMPR2|SNX2,3.72413793103448
"776",GO_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS,0.390986170041365,0.83102231732486,3,12,ENSG00000078018|ENSG00000101665|ENSG00000130707,MAP2|SMAD7|ASS1,ENSG00000042832|ENSG00000078018|ENSG00000101665|ENSG00000116044|ENSG00000130707|ENSG00000133116|ENSG00000137764|ENSG00000137834|ENSG00000166484|ENSG00000168615|ENSG00000196839|ENSG00000198911,TG|MAP2|SMAD7|NFE2L2|ASS1|KL|MAP2K5|SMAD6|MAPK7|ADAM9|ADA|SREBF2,5.33333333333333
"777",GO_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,0.391267089262487,0.807915939017781,4,15,ENSG00000060237|ENSG00000078018|ENSG00000137312|ENSG00000161905,WNK1|MAP2|FLOT1|ALOX15,ENSG00000026508|ENSG00000060237|ENSG00000078018|ENSG00000101144|ENSG00000111846|ENSG00000133116|ENSG00000136689|ENSG00000137312|ENSG00000137764|ENSG00000161905|ENSG00000166484|ENSG00000179820|ENSG00000197971|ENSG00000198125|ENSG00000204305,CD44|WNK1|MAP2|BMP7|GCNT2|KL|IL1RN|FLOT1|MAP2K5|ALOX15|MAPK7|MYADM|MBP|MB|AGER,6.53333333333333
"778",GO_RESPIRATORY_SYSTEM_PROCESS,0.392043490217944,0.801030938690152,4,20,ENSG00000115419|ENSG00000147050|ENSG00000169992|ENSG00000184916,GLS|KDM6A|NLGN2|JAG2,ENSG00000037280|ENSG00000042832|ENSG00000047457|ENSG00000101109|ENSG00000101181|ENSG00000105649|ENSG00000107372|ENSG00000115419|ENSG00000140718|ENSG00000147050|ENSG00000148824|ENSG00000167081|ENSG00000169057|ENSG00000169992|ENSG00000170835|ENSG00000171298|ENSG00000184916|ENSG00000196182|ENSG00000196338|ENSG00000197894,FLT4|TG|CP|STK4|MTG2|RAB3A|ZFAND5|GLS|FTO|KDM6A|MTG1|PBX3|MECP2|NLGN2|CEL|GAA|JAG2|STK40|NLGN3|ADH5,4.2
"779",GO_MUSCLE_HYPERTROPHY_IN_RESPONSE_TO_STRESS,0.392609938208024,0.825011477656355,3,15,ENSG00000106462|ENSG00000108509|ENSG00000116285,EZH2|CAMTA2|ERRFI1,ENSG00000058668|ENSG00000066135|ENSG00000068024|ENSG00000106462|ENSG00000108509|ENSG00000116285|ENSG00000133116|ENSG00000138814|ENSG00000149480|ENSG00000160789|ENSG00000166949|ENSG00000168487|ENSG00000173599|ENSG00000174437|ENSG00000198825,ATP2B4|KDM4A|HDAC4|EZH2|CAMTA2|ERRFI1|KL|PPP3CA|MTA2|LMNA|SMAD3|BMP1|PC|ATP2A2|INPP5F,3.86666666666667
"780",GO_VASODILATION,0.392881112502641,0.826189971618469,3,14,ENSG00000125863|ENSG00000131979|ENSG00000164116,MKKS|GCH1|GUCY1A1,ENSG00000021826|ENSG00000042832|ENSG00000047457|ENSG00000057663|ENSG00000106397|ENSG00000112096|ENSG00000125124|ENSG00000125863|ENSG00000131979|ENSG00000139687|ENSG00000142168|ENSG00000156113|ENSG00000164116|ENSG00000164867,CPS1|TG|CP|ATG5|PLOD3|SOD2|BBS2|MKKS|GCH1|RB1|SOD1|KCNMA1|GUCY1A1|NOS3,4.5
"781",GO_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL,0.392934117710348,0.810910320684208,4,13,ENSG00000062485|ENSG00000108443|ENSG00000142208|ENSG00000151726,CS|RPS6KB1|AKT1|ACSL1,ENSG00000062485|ENSG00000083807|ENSG00000105221|ENSG00000108443|ENSG00000123983|ENSG00000130304|ENSG00000136628|ENSG00000137154|ENSG00000140284|ENSG00000142208|ENSG00000151726|ENSG00000166278|ENSG00000167114,CS|SLC27A5|AKT2|RPS6KB1|ACSL3|SLC27A1|EPRS|RPS6|SLC27A2|AKT1|ACSL1|C2|SLC27A4,7.69230769230769
"782",GO_METAPHASE_PLATE_CONGRESSION,0.394171933030629,0.740195891017265,9,48,ENSG00000040275|ENSG00000076242|ENSG00000076382|ENSG00000126581|ENSG00000137497|ENSG00000138778|ENSG00000142192|ENSG00000171853|ENSG00000213024,SPDL1|MLH1|SPAG5|BECN1|NUMA1|CENPE|APP|TRAPPC12|NUP62,ENSG00000002822|ENSG00000036257|ENSG00000040275|ENSG00000076242|ENSG00000076382|ENSG00000079616|ENSG00000080986|ENSG00000083937|ENSG00000085415|ENSG00000086065|ENSG00000086827|ENSG00000094880|ENSG00000103769|ENSG00000108424|ENSG00000114999|ENSG00000118193|ENSG00000119541|ENSG00000126581|ENSG00000130724|ENSG00000131165|ENSG00000132612|ENSG00000134057|ENSG00000134222|ENSG00000134690|ENSG00000137497|ENSG00000138778|ENSG00000142192|ENSG00000142945|ENSG00000143228|ENSG00000145241|ENSG00000145919|ENSG00000146670|ENSG00000147457|ENSG00000153187|ENSG00000163611|ENSG00000164695|ENSG00000166278|ENSG00000167513|ENSG00000167842|ENSG00000170043|ENSG00000171853|ENSG00000173599|ENSG00000188419|ENSG00000197122|ENSG00000213024|ENSG00000237649|ENSG00000254093|ENSG00000254505,MAD1L1|CUL3|SPDL1|MLH1|SPAG5|KIF22|NDC80|CHMP2B|SEH1L|CHMP5|ZW10|CDC23|RAB11A|KPNB1|TTL|KIF14|VPS4B|BECN1|CHMP2A|CHMP1A|VPS4A|CCNB1|PSRC1|CDCA8|NUMA1|CENPE|APP|KIF2C|NUF2|CENPC|BOD1|CDCA5|CHMP7|HNRNPU|SPICE1|CHMP4C|C2|CDT1|MIS12|TRAPPC1|TRAPPC12|PC|CHM|SRC|NUP62|KIFC1|PINX1|CHMP4A,4.64583333333333
"783",GO_ENDONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_3_PHOSPHOMONOESTERS,0.394280792565645,0.804056032147012,4,16,ENSG00000026297|ENSG00000154743|ENSG00000154920|ENSG00000170892,RNASET2|TSEN2|EME1|TSEN34,ENSG00000026297|ENSG00000051180|ENSG00000065833|ENSG00000082212|ENSG00000105612|ENSG00000108384|ENSG00000119335|ENSG00000126215|ENSG00000132541|ENSG00000154743|ENSG00000154920|ENSG00000170892|ENSG00000172732|ENSG00000182173|ENSG00000197774|ENSG00000198860,RNASET2|RAD51|ME1|ME2|DNASE2|RAD51C|SET|XRCC3|RIDA|TSEN2|EME1|TSEN34|MUS81|TSEN54|EME2|TSEN15,6.1875
"784",GO_TRNA_BINDING,0.394606813654436,0.716862666190017,14,64,ENSG00000037897|ENSG00000062485|ENSG00000065427|ENSG00000066651|ENSG00000072756|ENSG00000100242|ENSG00000115414|ENSG00000122140|ENSG00000128829|ENSG00000132740|ENSG00000140988|ENSG00000162433|ENSG00000162971|ENSG00000178694,METTL1|CS|KARS|TRMT11|TRNT1|SUN2|FN1|MRPS2|EIF2AK4|IGHMBP2|RPS2|AK4|TYW5|NSUN3,ENSG00000037474|ENSG00000037897|ENSG00000062485|ENSG00000065427|ENSG00000066651|ENSG00000067704|ENSG00000072506|ENSG00000072756|ENSG00000090861|ENSG00000100242|ENSG00000100299|ENSG00000100316|ENSG00000100416|ENSG00000100601|ENSG00000100842|ENSG00000103356|ENSG00000104907|ENSG00000105976|ENSG00000106246|ENSG00000108786|ENSG00000109618|ENSG00000110619|ENSG00000113048|ENSG00000113272|ENSG00000113407|ENSG00000113643|ENSG00000114999|ENSG00000115414|ENSG00000115866|ENSG00000117593|ENSG00000122140|ENSG00000124571|ENSG00000124608|ENSG00000125821|ENSG00000128829|ENSG00000132394|ENSG00000132740|ENSG00000134684|ENSG00000136942|ENSG00000137760|ENSG00000138385|ENSG00000139131|ENSG00000140988|ENSG00000144895|ENSG00000145982|ENSG00000162433|ENSG00000162971|ENSG00000164022|ENSG00000165275|ENSG00000165525|ENSG00000166986|ENSG00000169083|ENSG00000174177|ENSG00000177192|ENSG00000177954|ENSG00000178694|ENSG00000179115|ENSG00000179988|ENSG00000182899|ENSG00000184575|ENSG00000196305|ENSG00000197971|ENSG00000198125|ENSG00000241058,NSUN2|METTL1|CS|KARS|TRMT11|IARS2|HSD17B10|TRNT1|AARS|SUN2|ARSA|RPL3|TRMU|ALKBH1|EFS|EARS2|TRMT1|MET|PTCD1|HSD17B1|SEPSECS|CARS|MRPS27|THG1L|TARS|RARS|TTL|FN1|DARS|DARS2|MRPS2|XPO5|AARS2|DTD1|EIF2AK4|EEFSEC|IGHMBP2|YARS|RPL35|ALKBH8|SSB|YARS2|RPS2|EIF2A|FARS2|AK4|TYW5|AIMP1|TRMT10B|NEMF|MARS|AR|CTU2|PUS1|RPS27|NSUN3|FARSA|PSTK|RPL35A|XPOT|IARS|MBP|MB|NSUN6,5.6875
"785",GO_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,0.394932679810411,0.749131867303507,8,37,ENSG00000055609|ENSG00000078687|ENSG00000090905|ENSG00000118058|ENSG00000126457|ENSG00000154727|ENSG00000162775|ENSG00000162961,KMT2C|TNRC6C|TNRC6A|KMT2A|PRMT1|GABPA|RBM15|DPY30,ENSG00000005483|ENSG00000042832|ENSG00000055609|ENSG00000067955|ENSG00000078687|ENSG00000080802|ENSG00000088992|ENSG00000090905|ENSG00000092847|ENSG00000100354|ENSG00000100393|ENSG00000116478|ENSG00000117222|ENSG00000118058|ENSG00000119335|ENSG00000126070|ENSG00000126457|ENSG00000129691|ENSG00000134698|ENSG00000135269|ENSG00000154727|ENSG00000155363|ENSG00000159216|ENSG00000162775|ENSG00000162961|ENSG00000167548|ENSG00000169375|ENSG00000170631|ENSG00000179348|ENSG00000179588|ENSG00000182149|ENSG00000185043|ENSG00000185513|ENSG00000196363|ENSG00000196712|ENSG00000198125|ENSG00000242372,KMT2E|TG|KMT2C|CBFB|TNRC6C|CNOT4|TESC|TNRC6A|AGO1|TNRC6B|EP300|HDAC1|RBBP5|KMT2A|SET|AGO3|PRMT1|ASH2L|AGO4|TES|GABPA|MOV10|RUNX1|RBM15|DPY30|KMT2D|SIN3A|ZNF16|GATA2|ZFPM1|IST1|CIB1|L3MBTL1|WDR5|NF1|MB|EIF6,5.27027027027027
"786",GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,0.395189364926851,0.774924411576801,6,21,ENSG00000105662|ENSG00000128829|ENSG00000142192|ENSG00000161011|ENSG00000162433|ENSG00000168066,CRTC1|EIF2AK4|APP|SQSTM1|AK4|SF1,ENSG00000100600|ENSG00000105662|ENSG00000118260|ENSG00000124214|ENSG00000128829|ENSG00000132669|ENSG00000133216|ENSG00000142192|ENSG00000144895|ENSG00000147255|ENSG00000151150|ENSG00000154146|ENSG00000156642|ENSG00000161011|ENSG00000162433|ENSG00000167085|ENSG00000168066|ENSG00000175344|ENSG00000196549|ENSG00000215021|ENSG00000251322,LGMN|CRTC1|CREB1|STAU1|EIF2AK4|RIN2|EPHB2|APP|EIF2A|IGSF1|ANK3|NRGN|NPTN|SQSTM1|AK4|PHB|SF1|CHRNA7|MME|PHB2|SHANK3,7.38095238095238
"787",GO_MAINTENANCE_OF_LOCATION_IN_CELL,0.395576435812411,0.711491386265528,15,74,ENSG00000029534|ENSG00000054654|ENSG00000067066|ENSG00000100242|ENSG00000100401|ENSG00000119760|ENSG00000127914|ENSG00000132341|ENSG00000135336|ENSG00000136068|ENSG00000142208|ENSG00000151239|ENSG00000159023|ENSG00000164828|ENSG00000173402,ANK1|SYNE2|SP100|SUN2|RANGAP1|SUPT7L|AKAP9|RAN|ORC3|FLNB|AKT1|TWF1|EPB41|SUN1|DAG1,ENSG00000007168|ENSG00000029534|ENSG00000044574|ENSG00000048707|ENSG00000054654|ENSG00000061656|ENSG00000066279|ENSG00000067066|ENSG00000082397|ENSG00000092820|ENSG00000100196|ENSG00000100242|ENSG00000100300|ENSG00000100401|ENSG00000103876|ENSG00000105438|ENSG00000107863|ENSG00000113141|ENSG00000113384|ENSG00000113558|ENSG00000113758|ENSG00000113838|ENSG00000116288|ENSG00000118454|ENSG00000119760|ENSG00000121957|ENSG00000127914|ENSG00000127948|ENSG00000129003|ENSG00000132341|ENSG00000135336|ENSG00000135506|ENSG00000136068|ENSG00000136240|ENSG00000136810|ENSG00000137076|ENSG00000137413|ENSG00000137642|ENSG00000138376|ENSG00000140463|ENSG00000140464|ENSG00000142208|ENSG00000148180|ENSG00000151150|ENSG00000151239|ENSG00000153187|ENSG00000156515|ENSG00000157916|ENSG00000158427|ENSG00000158828|ENSG00000159023|ENSG00000159256|ENSG00000160460|ENSG00000164828|ENSG00000164885|ENSG00000165959|ENSG00000167996|ENSG00000169083|ENSG00000169762|ENSG00000171298|ENSG00000173402|ENSG00000173801|ENSG00000176732|ENSG00000185010|ENSG00000185615|ENSG00000186480|ENSG00000196296|ENSG00000197858|ENSG00000197969|ENSG00000198382|ENSG00000198917|ENSG00000213465|ENSG00000247596|ENSG00000255529,PAFAH1B1|ANK1|HSPA5|VPS13D|SYNE2|SPAG4|ASPM|SP100|EPB41L3|EZR|KDELR3|SUN2|TSPO|RANGAP1|FAH|KDELR1|ARHGAP21|IK|GOLPH3|SKP1|DBN1|TBCCD1|PARK7|ANKRD13C|SUPT7L|GPSM2|AKAP9|POR|VPS13C|RAN|ORC3|OS9|FLNB|KDELR2|TXN|TLN1|TAF8|SORL1|BARD1|BBS4|PML|AKT1|GSN|ANK3|TWF1|HNRNPU|HK1|RER1|TMSB15B|PINK1|EPB41|MORC3|SPTBN4|SUN1|CDK5|CLMN|FTH1|AR|TAPT1|GAA|DAG1|JUP|PFN4|F8|PDIA2|INSIG1|ATP2A1|GPAA1|VPS13A|UVRAG|SPOUT1|ARL2|TWF2|POLR2M,5.55405405405405
"788",GO_MACROPHAGE_DIFFERENTIATION,0.395632413510048,0.769611789792358,6,26,ENSG00000062485|ENSG00000064012|ENSG00000135473|ENSG00000142192|ENSG00000168066|ENSG00000175354,CS|CASP8|PAN2|APP|SF1|PTPN2,ENSG00000042832|ENSG00000062485|ENSG00000064012|ENSG00000070831|ENSG00000086232|ENSG00000096717|ENSG00000106992|ENSG00000112715|ENSG00000115738|ENSG00000135473|ENSG00000137275|ENSG00000138798|ENSG00000139687|ENSG00000142192|ENSG00000143799|ENSG00000144895|ENSG00000147155|ENSG00000154229|ENSG00000160219|ENSG00000168066|ENSG00000169071|ENSG00000169083|ENSG00000175354|ENSG00000179348|ENSG00000198125|ENSG00000198945,TG|CS|CASP8|CDC42|EIF2AK1|SIRT1|AK1|VEGFA|ID2|PAN2|RIPK1|EGF|RB1|APP|PARP1|EIF2A|EBP|PRKCA|GAB3|SF1|ROR2|AR|PTPN2|GATA2|MB|L3MBTL3,5.61538461538462
"789",GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT,0.395672828492617,0.770382178093522,6,25,ENSG00000078018|ENSG00000089041|ENSG00000141027|ENSG00000142208|ENSG00000168066|ENSG00000184381,MAP2|P2RX7|NCOR1|AKT1|SF1|PLA2G6,ENSG00000048649|ENSG00000078018|ENSG00000080815|ENSG00000089041|ENSG00000100219|ENSG00000104375|ENSG00000105221|ENSG00000105722|ENSG00000113966|ENSG00000118520|ENSG00000132872|ENSG00000135124|ENSG00000136854|ENSG00000141027|ENSG00000142208|ENSG00000144746|ENSG00000154723|ENSG00000159164|ENSG00000167721|ENSG00000168066|ENSG00000169083|ENSG00000170540|ENSG00000183044|ENSG00000184381|ENSG00000198648,RSF1|MAP2|PSEN1|P2RX7|XBP1|STK3|AKT2|ERF|ARL6|ARG1|SYT4|P2RX4|STXBP1|NCOR1|AKT1|ARL6IP5|ATP5PF|SV2A|TSR1|SF1|AR|ARL6IP1|ABAT|PLA2G6|STK39,6.52
"790",GO_RIBOSOMAL_SMALL_SUBUNIT_BINDING,0.395674735187242,0.803022352457123,4,16,ENSG00000106682|ENSG00000132300|ENSG00000137449|ENSG00000239672,EIF4H|PTCD3|CPEB2|NME1,ENSG00000047457|ENSG00000063046|ENSG00000065833|ENSG00000067248|ENSG00000076248|ENSG00000085760|ENSG00000106682|ENSG00000122033|ENSG00000132300|ENSG00000132591|ENSG00000137449|ENSG00000164163|ENSG00000173812|ENSG00000181163|ENSG00000215301|ENSG00000239672,CP|EIF4B|ME1|DHX29|UNG|MTIF2|EIF4H|MTIF3|PTCD3|ERAL1|CPEB2|ABCE1|EIF1|NPM1|DDX3X|NME1,5.5625
"791",GO_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_BINDING,0.39588275691102,0.74833330990004,8,37,ENSG00000073712|ENSG00000089177|ENSG00000115762|ENSG00000128641|ENSG00000142192|ENSG00000142208|ENSG00000172661|ENSG00000186635,FERMT2|KIF16B|PLEKHB2|MYO1B|APP|AKT1|WASHC2C|ARAP1,ENSG00000008256|ENSG00000015285|ENSG00000039319|ENSG00000067646|ENSG00000073712|ENSG00000087842|ENSG00000089177|ENSG00000107862|ENSG00000108960|ENSG00000112977|ENSG00000115762|ENSG00000119487|ENSG00000123329|ENSG00000127946|ENSG00000128641|ENSG00000129946|ENSG00000130787|ENSG00000137478|ENSG00000140575|ENSG00000142192|ENSG00000142208|ENSG00000145555|ENSG00000145703|ENSG00000147162|ENSG00000148498|ENSG00000151422|ENSG00000153317|ENSG00000154146|ENSG00000161800|ENSG00000165861|ENSG00000166278|ENSG00000169083|ENSG00000172661|ENSG00000174307|ENSG00000184060|ENSG00000186635|ENSG00000196839,CYTH3|WAS|ZFYVE16|ZFY|FERMT2|PIR|KIF16B|GBF1|MMD|DAP|PLEKHB2|MAPKAP1|ARHGAP9|HIP1|MYO1B|SHC2|HIP1R|FCHSD2|IQGAP1|APP|AKT1|MYO10|IQGAP2|OGT|PARD3|FER|ASAP1|NRGN|RACGAP1|ZFYVE1|C2|AR|WASHC2C|PHLDA3|ADAP2|ARAP1|ADA,5.40540540540541
"792",GO_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,0.395901463575928,0.827643893360956,3,12,ENSG00000062485|ENSG00000136044|ENSG00000142192,CS|APPL2|APP,ENSG00000047410|ENSG00000062485|ENSG00000103653|ENSG00000107263|ENSG00000116473|ENSG00000118898|ENSG00000136044|ENSG00000142192|ENSG00000149177|ENSG00000157500|ENSG00000196776|ENSG00000254087,TPR|CS|CSK|RAPGEF1|RAP1A|PPL|APPL2|APP|PTPRJ|APPL1|CD47|LYN,5.33333333333333
